Time Real

0 0
2048 0.0715916
4096 0.119633
6144 0.16243
8192 0.201842
10240 0.250979
12288 0.288347
14336 0.303724
16384 0.342284
18432 0.38633
20480 0.389622
22528 0.415971
24576 0.451106
26624 0.458918
28672 0.492264
30720 0.511832
32768 0.522931
34816 0.548359
36864 0.559763
38912 0.579303
40960 0.596318
43008 0.596077
45056 0.620572
47104 0.629994
49152 0.645775
51200 0.66335
53248 0.666089
55296 0.690449
57344 0.691694
59392 0.68472
61440 0.705265
63488 0.713509
65536 0.737055
67584 0.741371
69632 0.745925
71680 0.752606
73728 0.774437
75776 0.769069
77824 0.777178
79872 0.775645
81920 0.77832
83968 0.790358
86016 0.810279
88064 0.800051
90112 0.805501
92160 0.81138
94208 0.808905
96256 0.819134
98304 0.824588
100352 0.834314
102400 0.83098
104448 0.843854
106496 0.841582
108544 0.855679
110592 0.849319
112640 0.858908
114688 0.858037
116736 0.847467
118784 0.867671
120832 0.875652
122880 0.857495
124928 0.888191
126976 0.868713
129024 0.878966
131072 0.887836
133120 0.865634
135168 0.899386
137216 0.907813
139264 0.892221
141312 0.913287
143360 0.890388
145408 0.905919
147456 0.891054
149504 0.908959
151552 0.901396
153600 0.906155
155648 0.90157
157696 0.908567
159744 0.941159
161792 0.921384
163840 0.915921
165888 0.9216
167936 0.916211
169984 0.931843
172032 0.936634
174080 0.922389
176128 0.939993
178176 0.942398
180224 0.911568
182272 0.928532
184320 0.944174
186368 0.939972
188416 0.938688
190464 0.939485
192512 0.950148
194560 0.945054
196608 0.948668
198656 0.935445
200704 0.944148
202752 0.929473
204800 0.948756
206848 0.942764
208896 0.952751
210944 0.943933
212992 0.956999
215040 0.95415
217088 0.941257
219136 0.954972
221184 0.943862
223232 0.954191
225280 0.958789
227328 0.946733
229376 0.95847
231424 0.951337
233472 0.959683
235520 0.945944
237568 0.953531
239616 0.964325
241664 0.960051
243712 0.960507
245760 0.958196
247808 0.97243
249856 0.970315
251904 0.948714
253952 0.956139
256000 0.954887
258048 0.974007
260096 0.979395
262144 0.964319
264192 0.958417
266240 0.978059
268288 0.962022
270336 0.9738
272384 0.960219
274432 0.971942
276480 0.959234
278528 0.966889
280576 0.968691
282624 0.973115
284672 0.962625
286720 0.950913
288768 0.966458
290816 0.976565
292864 0.957584
294912 0.971003
296960 0.962774
299008 0.982889
301056 0.958769
303104 0.967929
305152 0.971532
307200 0.975636
309248 0.961953
311296 0.974455
313344 0.970508
315392 0.985522
317440 0.973967
319488 0.963831
321536 0.967277
323584 0.96528
325632 0.974469
327680 0.958816
329728 0.96848
331776 0.962713
333824 0.961728
335872 0.97124
337920 0.966089
339968 0.965054
342016 0.97363
344064 0.96989
346112 0.974413
348160 0.962591
350208 0.975301
352256 0.969603
354304 0.976093
356352 0.981432
358400 0.956337
360448 0.978816
362496 0.973163
364544 0.970212
366592 0.970529
368640 0.967084
370688 0.973908
372736 0.980227
374784 0.979152
376832 0.978264
378880 0.965746
380928 0.975887
382976 0.966545
385024 0.977729
387072 0.962764
389120 0.974863
391168 0.976196
393216 0.976804
395264 0.990475
397312 0.964226
399360 0.977773
401408 0.981188
403456 0.974888
405504 0.992972
407552 0.98065
409600 0.981361
411648 0.972911
413696 0.980886
415744 0.974637
417792 0.974224
419840 0.962717
421888 0.968511
423936 0.986989
425984 0.978047
428032 0.976333
430080 0.979563
432128 0.965587
434176 0.986948
436224 0.986537
438272 0.970403
440320 0.977923
442368 0.974223
444416 0.965876
446464 0.978767
448512 0.965004
450560 0.972644
452608 0.979406
454656 0.972818
456704 0.979332
458752 0.982834
460800 0.98598
462848 0.952327
464896 0.97914
466944 0.981948
468992 0.96045
471040 0.988032
473088 0.971228
475136 0.984217
477184 0.973612
479232 0.976388
481280 0.984379
483328 0.978804
485376 0.971151
487424 0.976744
489472 0.992857
491520 0.958891
493568 0.978646
495616 0.976616
497664 0.982461
499712 0.985134
501760 0.991757
503808 0.975571
505856 0.976846
507904 0.95466
509952 0.974894
512000 0.985425
514048 0.989933
516096 0.980756
518144 0.970422
520192 0.973774
522240 0.973937
524288 0.984497
526336 0.981996
528384 0.977471
530432 0.996408
532480 0.973773
534528 0.98102
536576 0.970723
538624 0.979672
540672 0.976942
542720 0.997922
544768 0.984575
546816 0.971547
548864 0.987313
550912 0.978465
552960 0.979548
555008 0.988657
557056 0.973642
